Record Type,Workflow,Category,Trigger,Action,Arguments,Condition
Admin Request,HR Admin: Requests,Record Load1,Before Record Load,Add Button,Label: Submit Request,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5107, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Submit Request ', actionCondition: '', actionScriptId: 'workflowaction16270'});"
Admin Request,HR Admin: Requests,Form Event2,After Field Edit,Set Field Mandatory,Other  = True,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5173, actionName: 'Set Field Mandatory', linkElement: this, actionArguments: 'Other  = True', actionCondition: 'Case Type  = Other (specify)', actionScriptId: 'workflowaction16321'});"
Admin Request,HR Admin: Requests,Form Event2,After Field Edit,Set Field Mandatory,Other  = False,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5174, actionName: 'Set Field Mandatory', linkElement: this, actionArguments: 'Other  = False', actionCondition: 'Case Type  != Other (specify)', actionScriptId: 'workflowaction16322'});"
Admin Request,HR Admin: Requests,Record Load1,Before Record Load,Add Button,Label: Submit Request,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5107, actionName: 'Add Button', linkElement: this, actionArguments: 'Label: Submit Request ', actionCondition: '', actionScriptId: 'workflowaction16270'});"
Admin Request,HR Admin: Requests,Form Event2,After Field Edit,Set Field Mandatory,Other  = True,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5173, actionName: 'Set Field Mandatory', linkElement: this, actionArguments: 'Other  = True', actionCondition: 'Case Type  = Other (specify)', actionScriptId: 'workflowaction16321'});"
Admin Request,HR Admin: Requests,Form Event2,After Field Edit,Set Field Mandatory,Other  = False,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5174, actionName: 'Set Field Mandatory', linkElement: this, actionArguments: 'Other  = False', actionCondition: 'Case Type  != Other (specify)', actionScriptId: 'workflowaction16322'});"
Admin Request,HR Admin: Requests,State Event3,Entry,Set Field Value,Status =Completed,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 7410, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Status =Completed', actionCondition: '', actionScriptId: 'workflowaction17933'});"
Admin Request,HR Admin: Requests,State Event3,Entry,Send Email,"To: Raised By, Subject: Admin Request Completed","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5875, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Raised By, Subject: Admin Request Completed', actionCondition: '', actionScriptId: 'workflowaction16817'});"
Admin Request,HR Admin: Requests,State Event3,Entry,Set Field Value,Date Completed=today,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 10870, actionName: 'Set Field Value', linkElement: this, actionArguments: 'Date Completed=today', actionCondition: 'Date Completed Is Empty', actionScriptId: 'workflowaction20090'});"
Admin Request,HR Admin: Requests,Record Load1,Before Record Load,Lock Record,,"NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5869, actionName: 'Lock Record', linkElement: this, actionArguments: '', actionCondition: 'User != Raised By And User != Raised By : Shared Account', actionScriptId: 'workflowaction16812'});"
Admin Request,HR Admin: Requests,Scheduled1,Scheduled,Send Email,"To: Raised By, Subject: Evaluate Admin Request","NS.event.dispatch(SharedComponents.config.event.SHOW_ACTION_TOOLTIP, {actionId: 5876, actionName: 'Send Email', linkElement: this, actionArguments: 'To: Raised By, Subject: Evaluate Admin Request', actionCondition: '1. Was the communication satisfactory? Is Empty And Raised By : E-mail Is Not Empty', actionScriptId: 'workflowaction16818'});"
